#{"t_start": 1787664758.3272314, "env_id": "None"}
r,l,t
-1.874607,34,2.386366
4.815809,30,2.455216
-4.619162,25,2.512808
-2.612101,28,2.573628
-5.949838,31,2.641747
-4.216384,35,2.710705
-1.913964,33,2.79236
-3.22909,25,2.849381
-5.757091,21,2.900688
-1.136226,32,2.974727
0.227241,41,3.053833
6.955304,50,3.159373
-1.29674,31,3.222982
-2.772571,40,3.323743
-3.724915,32,3.396552
-1.021846,44,3.481922
-4.656656,28,3.540589
4.912105,34,3.613637
-5.490817,30,3.678541
-2.947569,32,3.74188
-3.852969,30,3.805019
0.766627,40,3.889266
-4.176457,26,3.939651
1.183804,44,4.044284
-4.130407,23,4.094613
-6.501686,24,4.143632
-3.716884,23,4.187673
-1.940885,30,4.25271
-4.784417,25,4.306842
-7.03035,21,4.349156
-2.146287,29,4.408186
-4.204475,26,4.459512
11.070073,50,4.565458
2.723249,42,4.652982
3.37334,30,4.711458
-5.554769,31,4.780564
-3.374331,20,4.81998
-6.678781,27,4.879035
-3.230407,30,4.94166
10.961026,91,5.120531
3.437017,36,5.197386
2.892995,67,5.336037
-1.722388,47,5.43175
-0.424525,33,5.502393
-6.735112,24,5.550512
-6.329033,36,5.626687
-5.664743,21,5.674501
-2.894535,47,5.767411
2.185855,41,5.853699
-2.114295,42,5.938687
8.498068,43,6.026311
-5.961077,21,6.067645
-0.686111,25,6.121786
-5.328922,38,6.203749
-5.174721,23,6.250061
5.616664,59,6.362348
2.930837,53,6.467841
5.892824,41,6.551201
2.933448,35,7.226614
5.780179,30,7.290731
-2.323201,27,7.348905
-6.380879,33,7.424797
2.994776,35,7.54443
-4.737496,27,7.6135
3.496884,35,7.678752
-6.224276,27,7.738362
4.781895,38,7.816858
-5.092166,24,7.864747
3.608478,27,7.923461
1.5434,57,8.041784
3.756223,52,8.149747
-0.158603,23,8.19524
-4.948944,29,8.265245
0.17559,46,8.372529
1.110993,35,8.442677
-0.257693,44,8.540489
-3.422572,26,8.598387
0.442994,42,8.690471
-5.267637,25,8.744304
-3.226279,25,8.794461
-5.432729,26,8.849589
8.520514,36,8.925589
2.729562,25,8.983488
3.797479,47,9.095037
2.343091,44,9.189927
-5.703351,28,9.248722
-5.70696,25,9.307397
6.505761,38,9.390456
7.444705,36,9.468196
14.897149,41,9.56073
0.645418,24,9.617186
-3.583719,26,9.669708
2.532165,27,9.73326
4.968808,73,9.898838
-3.424991,27,9.954897
6.437729,38,10.042513
4.528039,46,10.1776
-6.498153,27,10.238185
1.798601,61,10.377809
3.937973,38,10.464629
-3.336546,27,10.522856
-4.626638,33,10.597272
7.258209,38,10.683814
-5.625815,28,10.748141
-0.419658,40,10.832023
-4.591699,22,10.878932
