phase,metric,mujoco,gazebo,gazebo_minus_mujoco,gazebo_over_mujoco
TARGET,arrival_time_s,0.779337218,1.199315251,0.419978033,1.538891283
TARGET,settling_time_s,0.779337218,1.199315251,0.419978033,1.538891283
TARGET,peak_joint_speed_rad_s,0.757046165,0.624863598,-0.132182567,0.825396953
TARGET,final_max_error_rad,0.006095150,0.000000000,-0.006095150,0.000000002
TARGET,rms_tracking_error_rad,0.069983244,0.096522596,0.026539352,1.379224383
HOME,arrival_time_s,0.780790481,1.039484999,0.258694518,1.331323863
HOME,settling_time_s,0.780790481,1.039484999,0.258694518,1.331323863
HOME,peak_joint_speed_rad_s,0.755298884,0.624863453,-0.130435431,0.827306205
HOME,final_max_error_rad,0.006581714,0.000000000,-0.006581714,0.000000002
HOME,rms_tracking_error_rad,0.069686232,0.095001584,0.025315351,1.363276224
