#{"t_start": 1787711273.1771019, "env_id": "None"}
r,l,t
-1.245657,45,4.933248
-2.942522,26,4.989211
12.745185,40,5.063803
-7.020354,44,5.154024
-6.073566,30,5.215315
22.420216,77,5.365204
-6.505043,24,5.416425
10.156635,44,5.509085
0.224468,44,5.591039
-0.249919,36,5.668692
-9.493348,23,5.717041
0.768281,35,5.783731
-8.65258,23,5.833883
-3.797495,24,5.879936
4.977576,45,5.96833
-1.637765,26,6.016779
-2.067888,26,6.071097
-0.339778,72,6.208763
-7.382097,25,6.259675
9.073905,45,6.350017
-1.243315,34,6.414467
0.534344,35,6.489046
3.746943,44,6.578057
8.517661,57,6.691632
1.709559,46,6.782812
4.081533,36,6.85116
-1.12901,60,6.972325
-1.639916,26,7.024951
5.244303,30,7.084732
5.798436,57,7.194378
-2.618779,24,7.240145
11.061953,69,7.372769
0.423634,45,7.464465
17.765306,57,7.5831
-8.225936,21,7.628004
-3.682837,23,7.678751
-4.45962,29,7.756488
-8.208135,26,7.804206
-9.744127,21,7.852454
6.350502,36,7.924044
-3.460159,28,7.975747
-8.98197,21,8.014981
5.756399,29,8.074232
-5.657327,23,8.116599
-7.662027,27,8.17491
13.991981,43,8.258243
-1.463053,26,8.307423
0.489352,55,8.416585
-8.407263,20,8.460087
2.405682,39,8.535002
-2.579109,27,8.592782
-9.596903,23,8.636097
11.049833,46,8.726159
1.924578,96,8.918242
6.287474,45,9.679409
-5.721861,21,9.718843
5.952782,45,9.807952
-5.598251,35,9.881098
0.617201,26,9.929659
-2.673531,29,9.988302
-0.430305,29,10.047616
-0.933893,26,10.09735
3.31316,31,10.161085
14.083466,57,10.272767
-3.906602,22,10.31541
14.038315,36,10.387066
-1.665738,23,10.431585
-9.337711,26,10.484519
-7.348867,24,10.530163
1.19092,40,10.610416
13.677003,44,10.698669
0.640424,32,10.776494
-1.320493,42,10.859129
-9.077992,29,10.916801
-8.500089,24,10.963578
0.329489,23,11.010811
-5.456858,24,11.056688
-5.598377,22,11.104995
-5.589812,45,11.191908
0.457289,67,11.324078
0.017125,41,11.401122
0.187256,34,11.473731
-1.200918,40,11.551446
3.045648,62,11.673396
8.66921,54,11.779839
-1.82577,37,11.853323
2.548833,36,11.924316
-0.453059,37,11.999437
-1.808176,25,12.052547
-7.345343,30,12.110699
-7.941359,45,12.201761
-4.829359,22,12.242226
-3.256669,30,12.305163
-2.663366,40,12.383566
-4.879048,50,12.482385
-3.770139,55,12.594702
10.37047,41,12.678875
2.067297,41,12.761827
26.851737,67,12.906502
1.390559,53,13.023058
-7.990294,22,13.067249
3.543969,32,13.133796
14.970339,46,13.228065
-9.892701,24,13.275945
-2.778621,33,13.343084
-2.493668,36,13.419235
-2.550739,36,13.487961
-4.043821,39,13.564443
-5.55927,19,13.604445
-9.845673,23,13.655609
